ACTOR;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;NC
Actor 1;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;4;1.17;1.82
Actor 2;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.91;1.17;1.81
Actor 3;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 4;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 5;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 6;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 7;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 8;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 9;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 10;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 11;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 12;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 13;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 14;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 15;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;4;1.17;1.82
Actor 16;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 17;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 18;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.91;1.17;1.81
Actor 19;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.91;1.17;1.81
Actor 20;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 21;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 22;1.36;2.75;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 23;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 24;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 25;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 26;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.82;1.17;1.8
Actor 27;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.73;1.17;1.79
Actor 28;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.91;1.17;1.81
Actor 29;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.91;1.17;1.81
Actor 30;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.91;1.17;1.81
Actor 31;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.91;1.17;1.81
Actor 32;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.64;1.17;1.78
Actor 33;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.64;1.17;1.78
Actor 34;1.36;2.8;1.46;1.17;2.17;2.8;1.78;1.5;1.22;1;1;2.22;1.57;3.73;1.17;1.79
