V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;ND;CE
2,5455;1,8462;2,8333;3,2;2,5;2,8;2,5556;2;2,4444;1,5556;2,6667;3,1111;2,7143;2,0909;1;2,3417;Red de agua de Portoviejo
1,8182;1,4615;2,3333;2,6;2,3333;2;2,1111;1,75;1,7778;1,2222;2,3333;2,7778;2,4286;1,7273;1;1,925;Red de agua de Portoviejo
2,5455;2;2,5;3;2,3333;3;2,6667;2,375;2,7778;1,6667;2,8333;3,3333;2,7143;2,1818;1;2,4333;Red de agua de Portoviejo
2,5455;2;2,6667;3,2;2,5;2,6;2,1111;1,625;1,8889;1,2222;2,3333;2,7778;2,4286;1,7273;1;2,125;Red de agua de Portoviejo
2;1,7692;2,5;3,2;2,5;3;2,2222;2,25;2,3333;1,2222;2,5;3;2,7143;1,8182;1;2,1917;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6;2,8333;3,4;2,8889;3,5;3,2222;3,3333;2,5;2,2222;1,2857;1;1;2,75;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6;2,8333;3,4;2,8889;3,5;3,2222;3,3333;2,5;2,2222;1,2857;1;1;2,75;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6;2,8333;3,4;2,8889;3,5;3,2222;3,3333;2,5;2,2222;1,2857;1;1;2,75;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6;2,8333;3,4;2,8889;3,5;3,2222;3,3333;2,5;2,2222;1,2857;1;1;2,75;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6;2,8333;3,4;2,8889;3,5;3,2222;3,3333;2,5;2,2222;1,2857;1;1;2,75;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6;2,8333;3,4;2,8889;3,5;3,2222;3,3333;2,5;2,2222;1,2857;1;1;2,75;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6;2,8333;3,4;2,8889;3,5;3,2222;3,3333;2,5;2,2222;1,2857;1;1;2,75;Red de agua de Portoviejo
3,3636;3,4615;3,6667;3,6;2,8333;3,4;2,8889;3,5;3,2222;3,3333;2,5;2,2222;1,2857;1;1;2,75;Red de agua de Portoviejo
