Source_or_supply;Design;Manufacturing;Economic_circle;Distribution;Consumption_and_use;Harvest;Remanufacturing;Sustainability;Circular_economy_level
1.17;1.38;1.80;2.60;1.35;1.44;1.29;1.00;2.20;1.70
1.17;1.38;1.80;2.30;1.40;1.44;1.29;1.00;2.20;1.63
1.17;1.38;1.80;2.30;1.40;1.44;1.29;1.00;2.20;1.63
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.17;1.38;1.80;2.30;1.40;1.44;1.29;1.00;2.20;1.63
1.17;1.38;1.80;2.50;1.35;1.44;1.29;1.00;2.20;1.67
1.17;1.38;1.80;2.30;1.40;1.44;1.29;1.00;2.20;1.63
1.17;1.38;1.80;2.30;1.40;1.44;1.29;1.00;2.20;1.63
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.17;1.38;1.80;2.70;1.35;1.44;1.29;1.00;2.20;1.72
1.17;1.38;1.80;2.40;1.40;1.44;1.29;1.00;2.20;1.66
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.17;1.38;1.80;2.50;1.45;1.44;1.29;1.00;2.20;1.69
1.17;1.38;1.80;2.40;1.45;1.44;1.29;1.00;2.20;1.66
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.17;1.38;1.80;2.60;1.35;1.44;1.29;1.00;2.20;1.70
1.17;1.38;1.80;2.50;1.35;1.44;1.29;1.00;2.20;1.67
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.17;1.38;1.80;2.40;1.35;1.44;1.29;1.00;2.20;1.65
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.17;1.38;1.80;2.40;1.35;1.44;1.29;1.00;2.20;1.65
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.30;1.40;1.44;1.29;1.00;2.20;1.59
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
1.00;1.38;1.80;2.20;1.40;1.44;1.29;1.00;2.20;1.56
